Item,$AQ_​INDEX,$ROCK_​COMP,$POVOMULT,$PERM_​2,$PERM_​1,$KRWMAX,PWS1,PWS2,PWS3,PWS4,PWS5,OIL_CUM,WATER_CUM,WC1,WC2,PWFEND
BU_MACH5_207,0.445183923,3.76E-06,0.74602262,0.054091886,0.14139172,0.653321299,1254.407104,209.0511932,344.7228699,926.2313232,1.21E+03,1952538.75,4495783,0.268606424,0.899480462,1091.314697
BU_MACH5_208,0.503350053,3.93E-06,0.554929606,0.041570437,0.155386191,0.631345256,1263.518799,196.3880768,388.8865967,1020.447754,7.94E+02,1920553.25,5190835,0.358240008,0.908325851,416.358551
BU_MACH5_209,0.372488736,6.25E-06,0.69467579,0.048531741,0.164791831,0.563694571,1262.853027,327.5939941,383.3683777,1068.258423,1.22E+03,1953384,4.30E+06,1.05E-05,0.898468673,1077.167847
BU_MACH5_210,0.595263747,8.36E-06,0.805486618,0.040107611,0.159134074,0.513552507,1456.020142,739.0186157,858.2091675,1359.465088,1.32E+03,1953384,4.48E+06,9.01E-06,0.899873197,973.0264893
BU_MACH5_211,0.481858724,3.00E-06,0.242354527,0.066788726,0.176750737,0.607252815,1081.560425,111.1575699,205.4582825,680.3818359,1.19E+03,1918409.625,4752475,0.456162423,0.899915934,1068.782959
BU_MACH5_212,0.692034669,4.61E-06,0.566905728,0.069255009,0.150667712,0.650854335,1414.921875,385.787384,683.2557373,1072.793457,1.40E+03,1953383.875,4528583.5,0.420729637,0.896704555,1307.772461
BU_MACH5_213,0.301060726,7.08E-06,0.730821253,0.069579885,0.179144602,0.674867702,1273.481079,333.3126221,333.444397,923.6134033,1.31E+03,1953384,4.03E+06,1.33E-05,0.895617962,1363.186279
BU_MACH5_214,0.67341081,9.87E-06,0.723863948,0.060576303,0.148504653,0.662098117,1514.462158,824.9812012,946.7288818,1350.360962,1.47E+03,1953384,4293283,0.192576796,0.896817923,1329.99353
BU_MACH5_215,0.355006561,4.84E-06,0.736075076,0.052627273,0.187289801,0.472922819,1203.9823,230.4763031,275.0728149,1023.306274,1.44E+03,1953147.625,4.07E+06,7.95E-06,0.895838499,1299.515869
BU_MACH5_216,0.33388956,6.85E-06,0.882901834,0.041753545,0.147085905,0.583417982,1295.737549,398.045105,448.2023621,1112.585938,1.20E+03,1953384,4.23E+06,1.11E-05,0.89838922,1006.120605
BU_MACH5_217,0.557804059,2.03E-06,0.253009943,0.066517598,0.130940611,0.56297351,1235.027222,114.2026901,315.2515259,875.2918091,1.63E+03,1924585,4242590,0.490569949,0.892467499,1567.395874
BU_MACH5_218,0.516847536,6.77E-06,0.816214435,0.0448356,0.14249439,0.690837642,1404.55481,538.3953857,692.2931519,1233.062012,1.05E+03,1953384,4785240.5,0.189126149,0.903743863,801.013916
BU_MACH5_219,0.31312418,1.09E-06,0.670331541,0.049674801,0.131238488,0.677191809,791.4836426,72.29190063,77.38947296,511.5582275,1.10E+03,1888383.125,4465564.5,0.312755793,0.900144637,980.2312622
BU_MACH5_220,0.541968908,8.72E-06,0.138837745,0.041166476,0.189772664,0.579173711,1209.762085,213.5677185,396.0267334,1032.090332,7.71E+02,1870675.5,5389340,0.38320592,0.910679281,262.2705688
BU_MACH5_221,0.604722434,9.14E-06,0.654799475,0.05019688,0.170542448,0.469941801,1459.105103,743.4227295,844.7333984,1382.301025,1.57E+03,1953384,4.11E+06,8.86E-06,0.895139813,1313.111328
BU_MACH5_222,0.314463723,8.91E-06,0.59331503,0.042849717,0.141600974,0.461454573,1262.135498,330.5126648,365.164978,1054.671387,1.62E+03,1953384,3.79E+06,1.12E-05,0.892415822,1425.034912
BU_MACH5_223,0.529639772,8.03E-06,0.408641963,0.051738045,0.198647374,0.594089755,1332.589722,387.3443298,548.0402222,1120.542603,8.95E+02,1953384.125,5016002.5,0.246613443,0.906499863,650.9884033
BU_MACH5_224,0.515695303,6.56E-06,0.32081128,0.058715528,0.137885289,0.470290017,1244.781738,239.3200531,411.6115723,1025.960083,1.75E+03,1953384,3906212.5,0.24769567,0.891580522,1640.416138
BU_MACH5_225,0.634027186,9.95E-06,0.224540422,0.06752673,0.144170972,0.451992279,1346.631714,457.6374207,645.9954834,1116.355225,1.85E+03,1953384,3766043.75,0.249538541,0.88914746,1749.172485
BU_MACH5_226,0.509388763,5.77E-06,0.749979797,0.044109056,0.1301032,0.683614734,1367.991455,412.2150574,593.6836548,1148.781494,1.08E+03,1953384,4748238,0.251473904,0.90291518,832.4085083
BU_MACH5_227,0.506275582,6.73E-06,0.111566759,0.041273559,0.181835932,0.573145238,1115.598633,155.2239838,302.9328613,1028.265137,7.96E+02,1847669.875,5282650,0.44663617,0.909176707,333.9621887
BU_MACH5_228,0.495771404,3.52E-06,0.175533311,0.06654765,0.198937842,0.670103732,1100.606323,107.3492126,212.713623,709.1307373,8.17E+02,1897703.375,5244661.5,0.490091532,0.906826079,616.2053833
BU_MACH5_229,0.322001502,7.79E-06,0.236323728,0.040856436,0.175646657,0.596847346,1010.805603,94.64053345,95.86470795,660.6633301,6.93E+02,1879905.875,4787900.5,0.00046323,0.905573487,397.4158936
BU_MACH5_230,0.343998462,8.59E-06,0.135067672,0.042255357,0.158151985,0.527452132,954.9039307,83.33869171,87.36238861,666.0824585,8.94E+02,1924276.25,4630457,0.055819277,0.902451396,677.0392456
BU_MACH5_231,0.435826313,3.73E-06,0.440935063,0.062707393,0.189134484,0.654552355,1116.02124,128.9386139,205.7817383,743.1658936,8.74E+02,1939164.5,4909145,0.347611099,0.904158175,762.4141846
BU_MACH5_232,0.428045119,2.27E-06,0.686899429,0.064791025,0.165490305,0.526743645,1120.380981,129.6112671,217.4394073,726.9663696,1.57E+03,1946166.875,4117440.5,0.268928587,0.89353174,1520.77063
BU_MACH5_233,0.665605542,6.27E-06,0.323312723,0.063922548,0.134376783,0.463486221,1356.478394,371.0309143,644.0109253,1161.577637,1.83E+03,1953384,3854255.25,0.337580979,0.889582038,1695.922485
BU_MACH5_234,0.489500949,4.18E-06,0.21073491,0.06189575,0.189523786,0.613431837,1098.935547,102.2638016,215.976593,724.6742554,9.47E+02,1920721.25,5029100.5,0.447367817,0.904381871,761.3635864
BU_MACH5_235,0.485602979,8.83E-06,0.913136692,0.048827784,0.171918795,0.465207312,1443.942871,733.4406128,804.7231445,1401.06604,1.61E+03,1953384,3.93E+06,8.63E-06,0.893820465,1379.787598
BU_MACH5_236,0.410977898,1.23E-06,0.631364043,0.041991926,0.178879701,0.616146825,1042.457886,108.5938339,165.219162,825.350708,8.23E+02,1830323.375,5080680,0.417716533,0.907856882,351.2605896
BU_MACH5_237,0.338671688,3.82E-06,0.610674288,0.062333246,0.131737159,0.581721274,1075.494507,120.921608,141.3110504,688.3383179,1.68E+03,1947512,3864175,0.025925087,0.891490161,1707.715454
BU_MACH5_238,0.679949828,5.28E-06,0.148094888,0.056964628,0.154190293,0.540746269,1324.025269,213.1644287,579.96521,1116.054443,1.33E+03,1943392.375,4784702.5,0.48522985,0.898433447,1104.303955
BU_MACH5_239,0.643592712,4.08E-06,0.563593139,0.060494679,0.17531624,0.49714481,1380.384155,348.2139282,626.4891357,1106.697021,1.49E+03,1953383.875,4364248.5,0.350457281,0.895496786,1317.074097
BU_MACH5_240,0.472565716,6.33E-06,0.618576226,0.045721195,0.161096714,0.551873714,1322.685303,377.7851868,516.4052734,1156.857666,1.19E+03,1953384,4526996,0.096230745,0.900336087,958.6790161
BU_MACH5_241,0.370140812,6.20E-06,0.572317539,0.046703948,0.193097381,0.664377728,1216.43457,228.391037,289.2420044,943.1847534,6.18E+02,1932951.875,4972309,0.001976596,0.907374561,363.5552063
BU_MACH5_242,0.650535649,2.15E-06,0.923447346,0.059611941,0.165077924,0.501900571,1406.254639,338.7927246,637.0422363,1092.332275,1.54E+03,1953384,4316024,0.368400186,0.894788504,1358.094971
BU_MACH5_243,0.699783587,8.24E-06,0.906320786,0.053049779,0.156542141,0.595406476,1523.68042,837.6606445,977.4023438,1417.108398,1.45E+03,1953384,4362659,0.175439879,0.897743165,1238.595581
BU_MACH5_244,0.607363579,8.32E-06,0.966742821,0.059439103,0.191251604,0.57562801,1505.310059,845.5328979,930.2336426,1410.524292,1.43E+03,1953384,4.29E+06,9.14E-06,0.897258461,1278.144287
BU_MACH5_245,0.577989001,9.59E-06,0.392258321,0.064897731,0.186998,0.678358379,1387.530273,507.6242676,655.6514282,1120.261597,1.09E+03,1953384,4805498,0.277175635,0.902883649,974.3605957
BU_MACH5_246,0.344806006,4.65E-06,0.950239094,0.054696739,0.196331066,0.560644002,1255.599243,303.0054626,344.4043579,1063.124512,1.18E+03,1953384,4.27E+06,8.71E-06,0.89856565,1099.138672
BU_MACH5_247,0.639905637,7.72E-06,0.194296445,0.063670891,0.145005127,0.571871944,1306.994873,253.0248566,541.8260498,1025.580322,1.45E+03,1953384,4428111,0.409212172,0.89535737,1344.539185
BU_MACH5_248,0.670663363,8.09E-06,0.46477799,0.044287271,0.166973134,0.691888455,1433.747192,512.4976807,755.9916382,1222.965942,7.43E+02,1952046.5,5589314.5,0.365382314,0.911942422,341.3453979
BU_MACH5_249,0.404494937,1.13E-06,0.680816553,0.048164548,0.154008699,0.602374065,1019.870911,122.415947,164.1709442,741.8887939,1.02E+03,1903132.5,4766677,0.392787457,0.902695239,781.5941772
BU_MACH5_250,0.401063143,5.41E-06,0.48052078,0.049824729,0.144532698,0.660903134,1176.755493,170.03685,242.8101959,843.6101685,9.85E+02,1947318.625,4658404.5,0.233876526,0.902050972,846.8751831
BU_MACH5_251,0.524837428,5.07E-06,0.377340849,0.045974335,0.162420226,0.460084231,1247.824219,232.7110443,415.6636658,1040.177368,1.36E+03,1948889.125,4470796.5,0.282548338,0.898083806,1066.82373
BU_MACH5_252,0.398073989,9.49E-06,0.403906052,0.057056502,0.170944362,0.655557726,1274.961548,351.8614197,400.6564331,917.2501831,1.06E+03,1953384,4.50E+06,1.60E-05,0.900755346,981.9122925
BU_MACH5_253,0.477697952,3.33E-06,0.382861647,0.055512766,0.159855997,0.512621509,1140.953979,145.3984833,260.6101074,825.4397583,1.42E+03,1936175.5,4397979.5,0.357691735,0.89618516,1250.37561
BU_MACH5_254,0.586589947,1.81E-06,0.511458016,0.051928521,0.146716214,0.661873348,1302.027588,183.4182739,433.743866,796.0001831,9.91E+02,1917611.75,5214442.5,0.514366746,0.905715525,681.2157593
BU_MACH5_255,0.342527958,4.00E-06,0.589230409,0.049069128,0.189028396,0.506600452,1082.359497,123.1528473,144.2608948,826.4837036,1.10E+03,1946838.875,4.41E+06,8.06E-06,0.899894297,953.407959
BU_MACH5_256,0.638755699,6.52E-06,0.471974804,0.054919182,0.178598932,0.62203534,1395.994873,421.7138367,667.0962524,1157.020264,1.04E+03,1953384,5035365,0.35742116,0.90514636,801.4136353
BU_MACH5_257,0.467896579,7.83E-06,0.158319297,0.065786922,0.197829336,0.546189825,1114.815552,128.3669281,230.5432281,773.3482056,1.18E+03,1946523.625,4603828,0.310271412,0.899377882,1097.368164
BU_MACH5_258,0.405954015,5.62E-06,0.603865304,0.065009389,0.160022149,0.663924497,1246.59729,247.877655,334.6916199,903.5875244,1.28E+03,1953384,4304518.5,0.146318063,0.897259057,1270.471558
BU_MACH5_259,0.443284256,4.48E-06,0.702749779,0.052206725,0.158921359,0.510899136,1268.542114,269.4179077,395.0694885,1072.909424,1.46E+03,1953384,4179176,0.110540338,0.895729184,1297.917236
BU_MACH5_260,0.628956475,9.19E-06,0.238747166,0.050455055,0.193701671,0.611620624,1342.704834,356.1347656,598.3796997,1109.052246,7.53E+02,1953280.375,5456932.5,0.370919585,0.910565138,426.0921326
BU_MACH5_261,0.535237696,2.37E-06,0.39094959,0.064545404,0.184294305,0.588476577,1199.12207,124.4641113,302.9500427,741.5928955,1.15E+03,1935479.5,4878241,0.458456278,0.901230574,978.9784546
BU_MACH5_262,0.598440114,3.47E-06,0.755919077,0.053799275,0.192473608,0.620477828,1380.956421,312.0664673,579.697876,1116.473999,8.95E+02,1953384,5231001,0.373104692,0.907881737,602.6881104
BU_MACH5_263,0.354075088,9.28E-06,0.232399841,0.06199006,0.143170357,0.624375439,1107.110107,135.5352173,150.8084717,685.7052612,1.33E+03,1949991.875,4183101.5,0.029130781,0.895754397,1344.877197
BU_MACH5_264,0.474102628,6.03E-06,0.558228791,0.045519136,0.14083724,0.538651845,1298.257568,316.5778503,466.2711792,1107.579956,1.36E+03,1953384,4343706.5,0.16558373,0.897844672,1130.006714
BU_MACH5_265,0.390046986,4.05E-06,0.626810181,0.06721179,0.143921649,0.628394848,1160.237671,150.0422668,224.1552277,772.0953979,1.52E+03,1951116.25,4069382.5,0.201573357,0.893046498,1538.981934
BU_MACH5_266,0.499660244,5.67E-06,0.305417536,0.064641727,0.15500405,0.520509262,1191.342896,171.6408844,326.9911499,848.3188477,1.59E+03,1950167.75,4133545.5,0.306141943,0.893226206,1526.88208
BU_MACH5_267,0.350699399,3.20E-06,0.528270357,0.058805637,0.194157718,0.529455641,998.5114136,101.2903442,120.7707672,699.6054688,1.22E+03,1937956.875,4358169,0.150722072,0.89825958,1144.748291
BU_MACH5_268,0.574891397,8.85E-06,0.943898801,0.041840398,0.185450562,0.635288369,1473.077637,792.8725586,895.8616333,1399.946411,9.70E+02,1953384.125,5.04E+06,1.14E-05,0.90664351,620.6611938
BU_MACH5_269,0.463548546,2.87E-06,0.877218873,0.061193596,0.145740996,0.574652852,1263.090088,224.5657196,371.2311707,896.2233887,1.55E+03,1953383.875,4118860.25,0.252959013,0.893243372,1473.210083
BU_MACH5_270,0.585592212,2.80E-06,0.522945671,0.040470636,0.199491331,0.688836177,1322.841431,222.7068787,483.814209,1079.247803,8.08E+02,1791918.875,5734405.5,0.50021261,0.916529357,14.6959486
BU_MACH5_271,0.631471249,1.53E-06,0.317992871,0.054442401,0.173049793,0.576361736,1361.79895,179.833313,505.9722595,1101.888184,1.11E+03,1906906.25,5233306.5,0.538650572,0.905034781,726.4888306
BU_MACH5_272,0.456837696,5.87E-06,0.145301639,0.059460204,0.161702867,0.684341075,1044.506714,107.9533463,175.1419067,653.322937,8.60E+02,1912128.75,5006223.5,0.441664428,0.904617667,729.5487671
BU_MACH5_273,0.575426814,7.68E-06,0.283624061,0.042322247,0.132827849,0.698886654,1306.30481,257.103363,500.7638855,996.7161865,7.78E+02,1941123.375,5349384,0.398092836,0.90951544,418.8061218
BU_MACH5_274,0.626896402,4.68E-06,0.859711075,0.0688654,0.169371596,0.617843715,1439.288818,528.6720581,725.9138184,1147.842773,1.46E+03,1953384,4324501.5,0.296478659,0.896024764,1370.057251
BU_MACH5_275,0.520869924,7.00E-06,0.978684555,0.047721171,0.18013022,0.541558061,1434.792358,695.1132202,787.5283203,1367.057373,1.31E+03,1953384,4.40E+06,8.67E-06,0.899092615,1078.315674
BU_MACH5_276,0.36592335,4.82E-06,0.467466097,0.065138958,0.170106909,0.58005829,1092.593506,120.5980377,155.5347595,730.9283447,1.38E+03,1948309.625,4190005.5,0.155920982,0.895652592,1375.889404
BU_MACH5_277,0.371877877,4.52E-06,0.822399817,0.042627904,0.149772724,0.456928037,1226.021484,256.8316345,324.4336853,1116.260498,1.52E+03,1952710.375,4.02E+06,7.29E-06,0.894841969,1269.210571
BU_MACH5_278,0.555760295,6.17E-06,0.797211682,0.047341384,0.167466866,0.524806604,1414.149414,561.3433228,717.0801392,1311.274902,1.34E+03,1953384,4421594,0.094263554,0.89909476,1092.171021
BU_MACH5_279,0.351605774,5.32E-06,0.198195502,0.067018373,0.185972203,0.685410352,878.821106,67.02333832,74.66275787,498.8713684,8.16E+02,1910614.375,4746040.5,0.31462729,0.902822733,818.0667725
BU_MACH5_280,0.332999493,2.81E-06,0.896412464,0.057559951,0.139845341,0.486272774,1115.165405,143.5285645,171.6372375,833.4394531,1.85E+03,1951434,3.69E+06,6.32E-06,0.890932202,1810.933838
BU_MACH5_281,0.626201947,3.07E-06,0.613774065,0.048442998,0.172461132,0.623988128,1372.756714,243.1210327,559.3156128,1073.031494,8.34E+02,1941459.125,5434035.5,0.437018484,0.909483016,464.1719666
BU_MACH5_282,0.62992125,1.66E-06,0.250496744,0.062134292,0.133160094,0.499462966,1364.42749,166.1402435,497.621582,1132.76416,1.68E+03,1927410.125,4189118.5,0.500803292,0.891611218,1561.995483
BU_MACH5_283,0.387951415,5.36E-06,0.123973229,0.046547799,0.191008357,0.675089389,890.5221558,86.27116394,109.5834732,731.3078003,6.93E+02,1794474.625,5168787,0.407033652,0.909361243,251.9636688
BU_MACH5_284,0.58159248,9.45E-06,0.643009467,0.045019048,0.158735868,0.567816462,1445.563232,706.3257446,818.2919922,1332.832642,1.27E+03,1953384,4534758,0.021522088,0.900396824,1005.818787
BU_MACH5_285,0.541186462,7.88E-06,0.536506839,0.047848206,0.198593215,0.493038423,1378.05127,530.8607788,656.4754028,1270.208618,1.20E+03,1953384,4594275,0.023280634,0.901373446,936.9302979
BU_MACH5_286,0.618517826,3.16E-06,0.867387127,0.068157328,0.16307131,0.528996521,1394.740112,399.2584534,635.5617676,1091.965088,1.63E+03,1953383.875,4089350,0.319244653,0.892505109,1555.161987
BU_MACH5_287,0.318789148,6.62E-06,0.335655141,0.043044181,0.19243724,0.561249763,1037.172241,99.11787415,105.2410049,705.1254272,7.01E+02,1909299.875,4.73E+06,1.25E-05,0.904785335,463.5182495
BU_MACH5_288,0.676162456,1.56E-06,0.771245802,0.043748975,0.15954684,0.568608905,1421.838867,283.2432556,627.7631226,1050.298462,9.86E+02,1933339.75,5367940.5,0.478016168,0.907900751,519.3904419
BU_MACH5_289,0.359729704,1.77E-06,0.918526859,0.055694555,0.177271686,0.644170293,1063.275635,111.4102478,150.1039581,693.0349731,8.90E+02,1940118.25,4678903.5,0.242550611,0.902691662,791.3476563
BU_MACH5_290,0.322418506,9.00E-06,0.214212848,0.043869825,0.18528875,0.550082888,1042.638062,102.0688019,102.5972672,673.4442749,7.13E+02,1925638.125,4.70E+06,1.54E-05,0.904296577,518.9457397
BU_MACH5_291,0.408023511,5.47E-06,0.260103812,0.047592315,0.157344986,0.590515336,1049.968384,124.5829849,165.7164154,801.9516602,9.27E+02,1923990.75,4796964.5,0.329913497,0.903527439,717.0627441
BU_MACH5_292,0.557465621,6.39E-06,0.650776928,0.058286972,0.191907345,0.694325968,1393.353516,468.410553,641.7589722,1152.749146,9.15E+02,1953384,5049099,0.283290207,0.906624734,720.8980103
BU_MACH5_293,0.646955071,4.25E-06,0.229541111,0.054015459,0.146846922,0.605214179,1313.373535,202.0063171,523.6624756,1014.371155,1.15E+03,1937313,5050313.5,0.503948808,0.902685225,878.4977417
BU_MACH5_294,0.611279275,2.64E-06,0.968833802,0.069976108,0.191828635,0.479157018,1388.059448,401.1928101,626.9089966,1132.151611,1.64E+03,1953383.875,4082828.25,0.288960576,0.89238131,1549.868774
BU_MACH5_295,0.69800951,1.94E-06,0.203794635,0.058485471,0.157660996,0.679302561,1445.511841,179.085968,622.6437378,1059.57373,1.03E+03,1897486.875,5506700.5,0.592726171,0.907356143,643.3497314
BU_MACH5_296,0.674868667,9.21E-06,0.497809284,0.055394546,0.138435138,0.545054598,1461.411377,687.7445679,834.0209961,1292.787964,1.60E+03,1953383.875,4119063,0.236060023,0.893389344,1423.313354
BU_MACH5_297,0.683065596,8.01E-06,0.330629951,0.068062462,0.158507883,0.658399915,1397.030518,430.9922791,684.8415527,1088.675415,1.31E+03,1953384,4654823.5,0.394882113,0.898872018,1201.049805
BU_MACH5_298,0.621178552,6.09E-06,0.345505344,0.051413327,0.132177338,0.606557176,1342.265747,276.1722412,558.6137695,970.8185425,1.28E+03,1952588.125,4682673,0.398750007,0.899555385,1067.469116
BU_MACH5_299,0.500846706,7.15E-06,0.424870693,0.054216845,0.167786285,0.514013092,1299.086792,349.9978638,484.2709961,1099.827393,1.41E+03,1953384,4308796,0.178735763,0.896595001,1242.108765
BU_MACH5_300,0.511067672,4.75E-06,0.793387225,0.059978108,0.198126511,0.585840388,1356.002808,402.4243774,557.7866821,1149.939209,1.19E+03,1953384,4591630,0.207256615,0.900591075,1051.931763
BU_MACH5_301,0.590990228,1.26E-06,0.712040651,0.062578359,0.152367648,0.629339305,1312.54248,182.5865326,426.6216431,814.9866943,1.27E+03,1942826.125,4802166.5,0.47307834,0.899592698,1091.60144
BU_MACH5_302,0.410281051,5.99E-06,0.934350072,0.046067066,0.18174984,0.558702414,1338.999878,479.0220032,554.3170776,1234.265991,1.13E+03,1953384,4.46E+06,9.26E-06,0.900366962,930.6077271
BU_MACH5_303,0.331588708,6.45E-06,0.584976702,0.063047815,0.172193395,0.503126591,1203.221558,232.6228485,251.1282654,935.1880493,1.65E+03,1953383.875,3.80E+06,1.01E-05,0.891997516,1663.536011
BU_MACH5_304,0.329858724,3.68E-06,0.421941209,0.050919183,0.199311626,0.61453383,935.201416,81.23426819,90.30330658,613.5865479,6.60E+02,1894981,4814656.5,0.202426627,0.905376673,504.2020264
BU_MACH5_305,0.543669008,9.28E-06,0.461788629,0.045101518,0.149212314,0.612112125,1381.81958,528.5263062,661.451416,1190.599609,1.11E+03,1953384,4723387.5,0.19967401,0.902650654,861.8915405
BU_MACH5_306,0.378779211,6.70E-06,0.817998999,0.052073373,0.177597932,0.565959349,1322.653687,444.010376,495.5038757,1169.92041,1.28E+03,1953384,4.23E+06,1.03E-05,0.897817492,1158.19751
BU_MACH5_307,0.659018329,8.52E-06,0.165983593,0.047936769,0.146276479,0.482225349,1321.819824,307.0161133,597.9648438,1081.49939,1.40E+03,1952973.125,4536133.5,0.369844586,0.897177637,1123.599854
BU_MACH5_308,0.661612793,8.78E-06,0.591163073,0.050343002,0.174859192,0.556841792,1467.168945,692.3772583,850.0951538,1341.485474,1.29E+03,1953384,4614326.5,0.207328364,0.900801957,1039.566895
BU_MACH5_309,0.319830732,7.24E-06,0.973083883,0.06823511,0.147382038,0.531736991,1362.769531,517.5337524,526.2880859,1153.90564,1.99E+03,1953384,3.40E+06,9.73E-06,0.889034569,1982.760132
BU_MACH5_310,0.312162969,5.11E-06,0.900966216,0.054786082,0.134722247,0.549354717,1237.352295,271.6704102,299.9888916,1016.843445,1.71E+03,1953383.875,3.72E+06,9.22E-06,0.89161247,1666.532471
